name,ingredient,unit,amount
La Rosa,strawberry,each,1.0
La Rosa,simple syrup,oz,0.5
La Rosa,tequila blanco,oz,2.0
La Rosa,amaro,oz,1.0
La Rosa,lemon juice,oz,0.75
La Rosa,pink champagne,oz,1.5
Jersey Julep,mint leaves,each,10.0
Jersey Julep,maple syrup,oz,0.5
Jersey Julep,apple brandy,oz,2.0
Southland Sipper,strawberry,each,1.0
Southland Sipper,simple syrup,oz,0.75
Southland Sipper,rye,oz,1.5
Southland Sipper,Benedictine,oz,0.25
Southland Sipper,lemon juice,oz,0.75
Southland Sipper,Angostura bitters,dashes,2.0
Southland Sipper,club soda,oz,2.0
Moscow Mule,vodka,oz,2.0
Moscow Mule,ginger syrup,oz,0.75
Moscow Mule,lime juice,oz,0.75
Moscow Mule,club soda,oz,2.0
Summer Negroni,gin,oz,1.0
Summer Negroni,aperol,oz,1.0
Summer Negroni,bianco vermouth,oz,1.0
Blonde Redhead,aperol,oz,3.0
Blonde Redhead,grapefruit juice,oz,1.0
Blonde Redhead,lemon juice,oz,0.25
Blonde Redhead,club soda,oz,3.0
Daiquiri,white rum,oz,2.0
Daiquiri,lime juice,oz,0.75
Daiquiri,simple syrup,oz,0.75
Southside Fizz,mint leaves,each,8.0
Southside Fizz,cucumber wheel,each,2.0
Southside Fizz,simple syrup,oz,1.0
Southside Fizz,gin,oz,2.0
Southside Fizz,lime juice,oz,0.75
Southside Fizz,club soda,oz,2.0
Tom Collins,gin,oz,2.0
Tom Collins,lemon juice,oz,0.75
Tom Collins,simple syrup,oz,0.75
Tom Collins,club soda,oz,2.0
Paloma,tequila blanco,oz,2.0
Paloma,grapefruit juice,oz,1.0
Paloma,lime juice,oz,0.75
Paloma,simple syrup,oz,0.75
Paloma,club soda,oz,1.5
Old Fashioned,rye,oz,2.0
Old Fashioned,simple syrup,tsp,1.0
Old Fashioned,Angostura bitters,dashes,2.0
Applejack Old Fashioned,applejack,oz,2.0
Applejack Old Fashioned,maple syrup,tsp,1.0
Applejack Old Fashioned,Angostura bitters,dashes,2.0
Scotch Old Fashioned,scotch,oz,2.0
Scotch Old Fashioned,honey,tsp,1.0
Scotch Old Fashioned,Angostura bitters,dashes,2.0
Agave Old Fashioned,tequila reposado,oz,2.0
Agave Old Fashioned,agave nectar,tsp,1.0
Agave Old Fashioned,Angostura bitters,dashes,2.0
Rum Old Fashioned,aged rum,oz,2.0
Rum Old Fashioned,simple syrup,tsp,1.0
Rum Old Fashioned,Angostura bitters,dashes,2.0
Manhattan,rye,oz,2.0
Manhattan,sweet vermouth,oz,0.75
Manhattan,Angostura bitters,dashes,2.0
Sidecar,cognac,oz,2.0
Sidecar,Cointreau,oz,1.0
Sidecar,lemon juice,oz,0.75
Champs Elysees,cognac,oz,2.0
Champs Elysees,Cointreau,oz,0.75
Champs Elysees,green Chartreuse,tsp,1.0
Champs Elysees,lemon juice,oz,0.75
Champs Elysees,simple syrup,oz,0.25
Champs Elysees,Angostura bitters,dashes,2.0
Martinez,gin,oz,1.5
Martinez,sweet vermouth,oz,1.0
Martinez,Luxardo,tsp,1.0
Martinez,Angostura bitters,dashes,2.0
Hot Toddy,rye,oz,2.0
Hot Toddy,simple syrup,tsp,1.0
Hot Toddy,Angostura bitters,dashes,2.0
Hot Toddy,boiling water,oz,3.0
Bourbon Toddy,bourbon,oz,2.0
Bourbon Toddy,simple syrup,tsp,1.0
Bourbon Toddy,Angostura bitters,dashes,2.0
Bourbon Toddy,boiling water,oz,3.0
Rum Toddy,aged rum,oz,2.0
Rum Toddy,simple syrup,tsp,1.0
Rum Toddy,Angostura bitters,dashes,2.0
Rum Toddy,boiling water,oz,3.0
Apple Toddy,applejack,oz,2.0
Apple Toddy,maple syrup,tsp,1.0
Apple Toddy,Angostura bitters,dashes,2.0
Apple Toddy,cinnamon tea,oz,3.0
Scotch Toddy,scotch,oz,2.0
Scotch Toddy,honey,tbl,1.0
Scotch Toddy,lemon juice,oz,0.5
Scotch Toddy,boiling water,oz,3.0
Hanky Panky,gin,oz,2.0
Hanky Panky,sweet vermouth,oz,1.0
Hanky Panky,Fernet Branca,oz,0.25
The Bamboo,sherry,oz,1.5
The Bamboo,dry vermouth,oz,1.5
The Bamboo,orange bitters,dashes,2.0
The Bamboo,Angostura bitters,dashes,1.0
French 75,gin,oz,1.0
French 75,lemon juice,oz,0.5
French 75,simple syrup,oz,0.5
French 75,champagne,oz,2.5
Pisco 75,strawberry,each,1.0
Pisco 75,simple syrup,oz,0.5
Pisco 75,pisco,oz,1.0
Pisco 75,lemon juice,oz,0.5
Pisco 75,champagne,oz,2.5
Tequila 75,tequila blanco,oz,1.0
Tequila 75,lemon juice,oz,0.5
Tequila 75,agave nectar,oz,0.5
Tequila 75,champagne,oz,2.5
Rum 75,aged rum,oz,1.0
Rum 75,lemon juice,oz,0.5
Rum 75,simple syrup,oz,0.5
Rum 75,champagne,oz,2.5
Brandy 75,cognac,oz,1.0
Brandy 75,lemon juice,oz,0.5
Brandy 75,simple syrup,oz,0.5
Brandy 75,champagne,oz,2.5
Bitter French,gin,oz,1.0
Bitter French,Campari,oz,0.25
Bitter French,lemon juice,oz,0.5
Bitter French,simple syrup,oz,0.5
Bitter French,champagne,oz,2.5
Widow's Kiss,apple brandy,oz,2.0
Widow's Kiss,Benedictine,oz,0.25
